trial,success,planning_time_sec,source_obj_x,source_obj_y,pour_target_x,pour_target_y,goal_surface_x,goal_surface_y
1,0,0.04055341700586723,0.42379937946025936,-0.5224881692550664,0.29626026142919176,-0.304468188036295,0.4577649249574044,0.1943694361652024
2,0,0.0026361059935879894,0.5122628486966959,-0.45436728410764227,0.3476726368898447,-0.5172230586181227,0.2765232911812612,0.005890816913698638
3,1,7.295609596003487,0.48330065983723935,-0.542851364354133,0.4820367381414828,0.21795333448704957,0.3190876807812972,-0.37897255020704035
4,0,0.5989220900009968,0.4945842718603635,0.008429170175397682,0.26961888561765657,-0.13869476214973725,0.2565421625136037,0.49884972241885306
5,0,1.2562438780005323,0.5228519282163961,0.4603428438352726,0.4096306045610802,-0.012533721168157319,0.23915370386231327,-0.15072115610097314
6,1,8.764549881998391,0.5448624826303343,0.33745228527684157,0.2838083086183206,-0.2850412483080436,0.3985749302911185,-0.4633672468794973
7,1,0.22647808900364907,0.43509157803598997,-0.2200032122213616,0.3106620186951489,0.2770509416558423,0.22539009007260508,-0.04588592511955525
8,1,0.8606671970046591,0.5494590542990548,0.5457060926406039,0.22564125238487157,-0.31553025650625555,0.2928201451626405,0.47658531579307994
9,1,1.2299394229994505,0.5083024607902539,0.41719726673299706,0.3293344810586094,-0.3764784844070449,0.4918107341239325,0.2238939175961081
10,1,1.1728615800020634,0.287892438224463,0.44897495084042915,0.21777961278188573,0.14771289204011362,0.4902718312802768,-0.501504562021045
11,1,15.927208423003322,0.40387834827142793,-0.38709683587576915,0.2446059317487486,-0.21091581507685297,0.5146435210599065,0.32573453537684594
12,0,0.6839770270016743,0.2379408915251489,-0.07197986557889124,0.45499077122844656,-0.20495495438550965,0.4121730986571502,0.012565365636425962
13,0,0.02126692900492344,0.3884581989824772,0.24137299905933007,0.4596825272438168,0.1876913548762994,0.3274775151234425,-0.4730288077610588
14,0,0.735571721001179,0.22967843785379263,0.016997210906738114,0.42152929951802853,-0.18129291904921901,0.48644821258783255,0.2762519512948055
15,1,2.266356642001483,0.4354784846950085,-0.3028952674029829,0.2696954764543018,-0.5231320735004911,0.2856948904274226,-0.027350021359314414
16,0,0.16033043599600205,0.44356912174288343,-0.038995126968322635,0.3950920279116884,0.4592170159009843,0.24247550971628457,-0.4033269838872683
17,1,0.30135151500144275,0.4852522775660894,0.4312223259751199,0.3493592649005295,0.44754020350172485,0.3560697642268452,-0.3749263017027008
18,0,1.5041877889962052,0.5125593914766109,-0.46136457657656477,0.2527907303045803,-0.12866117832552804,0.2534818433020018,-0.3146518351834139
19,1,0.8438368930001161,0.46942852031013216,0.49066823694911066,0.2068361848582045,0.418722340033606,0.4014916213835281,-0.025322294186907346
20,1,2.2134523929998977,0.5299595801019339,-0.22152608239037824,0.33649532682230165,0.43080569616536324,0.49250503477944024,0.04204262437125472
21,1,3.2870684080044157,0.23783456238016232,-0.5217537319527874,0.30918503553814336,0.19508201553544968,0.5353604933720636,-0.11368011433170994
22,1,3.082661423002719,0.24222955966330706,-0.3381572772033309,0.2418441594392685,0.03945036192212481,0.46676636331943605,-0.3463351733185719
23,1,1.6067713770025875,0.2883395978297727,-0.42248623842594635,0.4703917741139328,0.401401642457067,0.48872452114404535,-0.5487338258070766
24,1,0.7581012320006266,0.36964912893249935,-0.5182436133141705,0.42050779695142126,0.32924510660191775,0.4484239887850907,-0.20817484776733142
25,0,0.7694755770062329,0.33202351897486015,0.4761374812867871,0.504360589131924,0.5288520944658539,0.2835819404581873,-0.1287320661774376
26,0,5.517580747000466,0.5424182048771911,0.28640666229369194,0.4463617902651633,-0.43944203564490086,0.25822767535522884,-0.2205873117315288
27,1,1.1141115320060635,0.34421811214145137,0.19998040848800103,0.2630199101529589,-0.35742370943080504,0.4133221254109879,-0.12920127152143873
28,1,2.5725163230017642,0.4333942510432683,0.4387993848703532,0.3628386394338555,-0.23360516767671735,0.39130934816070995,-0.46875190968883973
29,1,0.20778787299786927,0.47527948386067687,0.4141066563773047,0.3280501357152934,0.001974238491324165,0.2953845727493273,-0.3690011375943789
30,1,1.6543495499936398,0.3639159860984434,-0.4671707030025668,0.4639530225714674,-0.30182383473102264,0.43671330365148076,0.19184685333025797
