trial,success,planning_time_sec,source_obj_x,source_obj_y,pour_target_x,pour_target_y,goal_surface_x,goal_surface_y
1,0,1.2019097930024145,0.42379937946025936,-0.5224881692550664,0.29626026142919176,-0.304468188036295,0.4577649249574044,0.1943694361652024
2,0,1.2125172939995537,0.5122628486966959,-0.45436728410764227,0.3476726368898447,-0.5172230586181227,0.2765232911812612,0.005890816913698638
3,0,1.301706591002585,0.48330065983723935,-0.542851364354133,0.4820367381414828,0.21795333448704957,0.3190876807812972,-0.37897255020704035
4,1,1.14402308499848,0.5350245752723735,-0.17974600037611055,0.23246104518305177,-0.44361198548318964,0.496623028221611,0.11409863450358015
5,1,4.889298104004411,0.4824948956460331,0.25270496536319964,0.3876798320091453,0.5204273403773076,0.33248703202292373,0.05724469440054969
6,0,0.469348517995968,0.26961888561765657,-0.13869476214973725,0.2565421625136037,0.49884972241885306,0.5228519282163961,0.4603428438352726
7,0,120.05865203699796,0.4096306045610802,-0.012533721168157319,0.23915370386231327,-0.15072115610097314,0.5448624826303343,0.33745228527684157
8,1,0.4378083300034632,0.2838083086183206,-0.2850412483080436,0.3985749302911185,-0.4633672468794973,0.4561676581956198,0.34762557876209743
9,0,123.78154460299993,0.5422945727870669,0.03597678648246727,0.24401617903215447,0.17572590502210417,0.5313970378967469,-0.3683603451284596
10,0,1.3187655709989485,0.42088603504453465,-0.2981640378077302,0.5168970045521448,0.39559894027912124,0.22480007246102873,-0.28819490219410526
11,0,120.00707531900116,0.5231429597466045,-0.06255618044119737,0.5014721866666407,0.055357843694832876,0.21770591533370845,0.5492107152539993
12,0,120.00712330600072,0.49117349980434544,-0.27250131503938135,0.22866718146657491,-0.5286783842449883,0.3887966667728868,0.5498986113601303
13,0,1.2852293989999453,0.46259948758801744,0.4049013637559714,0.45237123756115233,0.5152384878426219,0.410143531928637,-0.16318919573753615
14,0,0.4525577200038242,0.3286463677153726,0.2888661951305347,0.40093500151601197,0.3379435082675788,0.4958043064649254,0.522001262338279
15,0,120.00713420200191,0.4864494008392344,0.12493060858901128,0.424944707340441,-0.5211207854010583,0.5251795018482277,0.36240686895562935
16,1,3.12171031699836,0.2936067038039387,-0.35154232084306014,0.44594457050296166,-0.21011684228709887,0.31893862987204047,-0.5432836316559755
17,0,0.6622755670032348,0.30133032195501536,-0.10446446222855005,0.5381698918615943,-0.3609395013641241,0.5316650082643617,-0.0438934079168104
18,1,0.6327723950016662,0.22752648061900096,0.4075768578149529,0.46103168926261107,-0.30627073521632353,0.47269125401114265,-0.46598268477967675
19,1,2.18150443599734,0.4771362290428755,0.4354644421124829,0.35740679627781724,0.3407975094677682,0.4281431091270135,-0.19632056083152882
20,0,120.00802201800252,0.28190103051739857,-0.2869146530299286,0.5379588230179129,0.3128072635525253,0.5163910183481104,-0.3365822061551732
21,1,4.765204925999569,0.5421177718813792,-0.5311431426373301,0.4846050273198685,0.1914362473311314,0.48215869463160016,0.4507507025986428
22,0,0.9257132839993574,0.29813055481582196,0.04733376815811419,0.4303382341676625,-0.35271004645792403,0.49764966003648675,-0.5327760952888719
23,0,120.00993697800004,0.2725053403933543,-0.39138928258806543,0.48724175951964405,0.3529926265636505,0.525106229088665,-0.22079542146105124
24,0,0.661121365003055,0.23998122566769736,-0.16281658314116615,0.3602512051617871,-0.3602197356886263,0.4357561018101568,0.3306747215031781
25,0,0.9353849399994942,0.5215389029314338,0.09918520147522658,0.435238528600944,-0.20549568064773227,0.28350045425357673,-0.42135620563217285
26,0,122.18974253999477,0.33065712483750875,-0.3945056024051656,0.3359621442584968,0.10606839918832489,0.4011821157060451,-0.08465733971946643
27,0,0.9683138830005191,0.3703345754923342,0.0411171969978229,0.5217063488501388,0.47376443147576985,0.26063218075200467,-0.36644792378987207
28,0,120.0066317630044,0.30109217091727103,-0.34419156204135715,0.4946948249477919,0.13135097666809237,0.5029327807997444,0.4970261455367637
29,1,1.140550402997178,0.3696131218059894,-0.33535865920232594,0.3343804615537836,0.06774028506861496,0.42857441621452164,-0.09995221679533778
30,0,120.00812264500564,0.40209893525645657,-0.25441113270376553,0.3449787812777632,-0.05280910519459919,0.42176971717260425,0.4181375894380559
