trial,success,planning_time_sec,target_obj_1_x,target_obj_1_y,target_obj_2_x,target_obj_2_y,stirrer_x,stirrer_y
1,1,0.33967560800374486,0.29158251410226677,0.39000610438549,0.22279514409887669,-0.009350751905005339,0.4854945403659952,0.06416875222804641
2,1,0.7597648119844962,0.448276626207774,0.2879634204441359,0.2167942415108666,0.21226384136958776,0.2023482219271277,0.39079921640168247
3,0,0.363687575008953,0.2994968568029579,-0.15917419910673847,0.49153530959952885,-0.3744088735616218,0.5151077585486163,-0.060572609617285667
4,1,0.2261237450002227,0.24365993939754943,-0.4769095769605084,0.2764530316823206,0.034917302471546896,0.44188166313214594,0.1333897113710697
5,1,86.01132138899993,0.33741076255230873,-0.2974045382661117,0.43369636178008675,0.11156741734547893,0.4847813566695147,0.5237168464199171
6,1,0.2665319840016309,0.4974416322545025,-0.5449027972003944,0.39408843950393746,-0.018871087435612055,0.48703990199481456,0.47159784228699064
7,0,0.5010572379978839,0.23183153322011138,0.039358457253021006,0.4340183209990863,0.12312098558282736,0.5418209468810026,-0.12714710462261503
8,0,120.26714181501302,0.549645269306807,-0.19672722897622624,0.23490504060927853,-0.4619045877221023,0.29991724049266594,0.430591876771485
9,1,0.3155286280089058,0.41613022261999644,0.4666272362174786,0.47157523419263453,-0.13997289335004387,0.46562148165500555,0.16577976845414555
10,0,120.33715965400916,0.4222346531725911,0.2340172662342157,0.4921413184146586,-0.43371764084828246,0.3058715787260821,-0.4860476314952721
11,0,0.6881743050180376,0.2757090062185751,-0.1181175624125233,0.25797728008148507,0.033045004964644686,0.5422175636142788,-0.24795617410130277
12,0,120.00535897200461,0.36826523699064373,-0.18866323917043976,0.39299081438693095,0.5336654096258402,0.3083063357796628,0.2141046522119986
13,0,1.038599664985668,0.34217401765725336,-0.2485230960070109,0.2404066202272451,0.03503823159484265,0.3560703616337004,0.5462891355516313
14,1,0.38996639198740013,0.23489235647263765,0.512403930376315,0.5151463713928097,0.14462420595415315,0.5016790233501387,-0.42801264642871273
15,1,1.4460276299796533,0.2883035572041855,-0.49064029984183016,0.4934152239097963,0.37528695083556396,0.3054078569222043,-0.2574842536218487
16,1,0.6823206020053476,0.36247588305437306,-0.31181371217527676,0.45189168239538646,-0.06730411251918139,0.3438952254162133,0.4179693750464546
17,1,0.2547807159717195,0.527108820255401,0.5146032254043804,0.28511123774304636,-0.059544739706371086,0.5050636846082505,-0.17721319568175198
18,1,0.22098274700692855,0.45995699578928995,-0.2857062909211194,0.40931636374604513,0.47049624796170764,0.3448536237452794,0.04783617857656275
19,1,0.9028672620188445,0.2948712880820349,0.5442563636650299,0.30320711400294265,0.21749287087118074,0.4053594667697411,-0.27139317015040354
20,0,121.14383687399095,0.24491009893675963,0.38708376661162724,0.441917815973168,-0.23480685384447103,0.2934613871533779,-0.4784669822675811
21,1,0.45822893801960163,0.5104625232816581,0.31397390361837485,0.35307407729092855,-0.10461356252035275,0.49581284435747114,0.07051140229974018
22,1,2.651406676013721,0.45145815591433214,-0.28633097529258805,0.5121070986294253,-0.06794241464851536,0.2284539656467462,-0.4474897619687888
23,1,0.6193887080007698,0.2918399211478294,-0.39878588361490763,0.4125993783248147,0.3160766996693116,0.42902993539457146,0.07945817646243025
24,1,1.050178664008854,0.5142696891695068,-0.39241292217959955,0.379426317844305,0.4483344365251668,0.30387737751374083,-0.34968264081487477
25,0,120.00577335897833,0.4022775753461646,-0.4399928874586399,0.32167729921011284,-0.4302059369929825,0.2027456585569958,0.33204569221036584
26,1,0.24730469199130312,0.23170848807425762,0.2475387672315651,0.5096750062945922,0.5316179575060194,0.3005390705275055,-0.3336048887754985
27,0,121.3344218750135,0.454673962298902,-0.3654207831574123,0.5209141914281035,0.4820811137748766,0.4896936265726127,0.13735118362727616
28,1,2.1713767900073435,0.4256861553997916,-0.0009082664109968386,0.25073900904170154,-0.4317452207650158,0.25186491569356795,0.4633237648554862
29,1,1.1562206820235588,0.2546675523997117,-0.435910510046939,0.3814506919980436,-0.33685699690514426,0.21727998800846007,0.2966342458759519
30,0,120.00646686801338,0.2686246628836168,-0.48360987162308033,0.5120366919185648,-0.2656706687373287,0.381318555391327,-0.1204866702817799
