trial,success,planning_time_sec,source_obj_x,source_obj_y,pour_target_x,pour_target_y,goal_surface_x,goal_surface_y
1,1,25.382776390004437,0.4577649249574044,0.1943694361652024,0.5122628486966959,-0.45436728410764227,0.35,-0.35
2,1,0.4440293000006932,0.44249234776352,0.3508621248049044,0.4784798925985841,-0.09994425073060836,0.35,-0.35
3,1,7.877514973995858,0.3747561253511361,0.14666964361903,0.2847074086847796,0.17452926538554991,0.35,-0.35
4,1,11.982466467001359,0.278164773884963,0.40857545538093,0.3471653988646839,0.42552790466285384,0.35,-0.35
5,1,5.773297175997868,0.21382098995041657,0.22728857682086534,0.39565867672227406,0.04700748448626357,0.35,-0.35
6,1,0.9148082210012944,0.545084457577717,0.12864115605912252,0.4119615789388499,0.12359822358192862,0.35,-0.35
7,1,76.48581196900341,0.5390852783266826,0.4679785914484007,0.5325693148714707,-0.30519036638287217,0.35,-0.35
8,1,0.07993854099913733,0.3096411617572256,0.47836779619514647,0.4494094768549923,-0.03478323824991869,0.35,-0.35
9,1,5.9592943509996985,0.34968420984814613,-0.08744376854902802,0.34359051854498235,-0.5195597678138755,0.35,-0.35
10,1,53.10108955099713,0.2629313684277418,0.2925745127008056,0.2966505198988265,0.405960908863111,0.35,-0.35
11,1,6.289742977998685,0.3381124680360149,0.16462080731040651,0.44935714124265536,0.3483747836108503,0.35,-0.35
12,1,49.00855574000161,0.4772328197801536,0.3993926027391914,0.37954305076225325,0.5059688724293867,0.35,-0.35
13,1,0.1092202889994951,0.3201769390865435,-0.11146520371449192,0.40353374025041,0.3392699896286411,0.35,-0.35
14,1,0.6444866070014541,0.23738624452825283,-0.1310972942243217,0.4717420067973283,0.03707461082003871,0.35,-0.35
15,1,0.3617919929965865,0.27750383392118416,0.06191015664477495,0.38886839040068566,0.06109895489327066,0.35,-0.35
16,1,2.6074446189959417,0.216073493196666,-0.17059523692560025,0.3366320667111896,0.19670767369588282,0.35,-0.35
17,1,0.3679536569979973,0.488359825471756,0.42881623386819756,0.31500769534921874,0.23097663170185778,0.35,-0.35
18,1,0.8450750930060167,0.3848570907560894,-0.17410908395659896,0.35204609891118444,0.04001366589579447,0.35,-0.35
19,1,3.394809418998193,0.4465100776589665,0.13929446240700583,0.39059343496423204,0.5229705122202384,0.35,-0.35
20,1,1.147643545999017,0.357027784310732,0.16807748665525568,0.21963169185062897,0.47296377619051233,0.35,-0.35
21,1,0.5092947189987171,0.4792427058882976,-0.02809361762082485,0.2631030833835875,0.12872647885132094,0.35,-0.35
22,1,6.349969839997357,0.4035047644582806,0.3757530272007784,0.25975533598585515,-0.07714624706997086,0.35,-0.35
23,1,87.90087559200038,0.41824085975220904,-0.029364518718498434,0.49045426568524436,0.17863060888356008,0.35,-0.35
24,0,120.00697806699463,0.40052732512258615,0.47563858314795837,0.23022260413329573,-0.545729564039151,0.35,-0.35
25,0,120.00776340899756,0.5097671786294684,-0.3981427093768085,0.4070523650054674,0.4231929652169544,0.35,-0.35
26,1,40.068148152000504,0.24392972355327264,0.3536493245160275,0.3143287471200761,0.3507389294443358,0.35,-0.35
27,1,2.1393925860029412,0.5202045700100835,0.025642733092473446,0.38910307015053186,-0.07392958967089919,0.35,-0.35
28,1,1.8424933400019654,0.3141270838029315,-0.04577737880279564,0.2452551444810687,0.17153072949377424,0.35,-0.35
29,1,4.3226092860059,0.2707450145856937,0.11090926486142594,0.43996639488782335,-0.0743541228689627,0.35,-0.35
30,1,1.1485692520000157,0.21138954602430882,0.2143426623860316,0.3439180872542237,-0.0671267032585931,0.35,-0.35
