timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check,pour_peak_tilt_deg,pour_lip_err_mm,pour_start_lip_err_mm,pour_lip_height_mm
2026-09-12T09:33:06,0,transfer,fr5_ag95,True,53.55,460,True,15.28,,0.5007;0.1977,0.5273;0.3632,True,0.00,0.3419;-0.3691,True,True,True,beaker,20.8,,59.21,26.7,50.6,71.4
2026-09-12T09:36:11,1,transfer,fr5_ag95,True,52.59,503,True,2.74,,0.5228;0.1657,0.4366;0.3570,True,0.00,0.3470;-0.3367,True,True,True,beaker,13.7,,59.72,15.0,17.1,67.6
2026-09-12T09:39:13,2,transfer,fr5_ag95,True,61.66,466,True,2.71,,0.4588;0.1303,0.4996;0.3379,True,0.00,0.3416;-0.3324,True,True,True,beaker,19.5,,40.94,12.0,53.4,142.8
2026-09-12T09:42:38,3,transfer,fr5_ag95,True,108.20,536,True,2.42,,0.4879;0.1407,0.4452;0.3208,True,0.00,0.3409;-0.3420,True,True,True,beaker,12.1,,58.26,0.6,19.8,82.1
2026-09-12T09:46:31,4,transfer,fr5_ag95,True,110.59,577,True,4.95,,0.5202;0.1422,0.4882;0.3719,True,0.00,0.3546;-0.3532,True,True,True,beaker,5.6,,60.10,12.8,35.1,57.7
2026-09-12T09:50:32,5,transfer,fr5_ag95,True,56.79,405,True,6.11,,0.4808;0.1293,0.5337;0.3469,True,0.00,0.3368;-0.3366,True,True,True,beaker,18.8,,44.40,27.5,46.8,138.5
2026-09-12T09:54:01,6,transfer,fr5_ag95,True,51.34,331,True,2.61,,0.5074;0.1577,0.4461;0.2868,True,0.00,0.3517;-0.3396,True,True,True,beaker,10.5,,53.15,14.1,38.8,99.3
2026-09-12T09:56:58,7,transfer,fr5_ag95,True,53.64,318,True,4.28,,0.4405;0.2069,0.4806;0.3120,True,0.00,0.3395;-0.3388,True,True,True,beaker,15.3,,58.75,6.8,8.8,75.2
2026-09-12T09:59:57,8,transfer,fr5_ag95,True,53.54,575,True,2.59,,0.4838;0.1620,0.4817;0.3058,True,0.00,0.3479;-0.3386,True,True,True,beaker,11.5,,58.59,5.1,42.9,68.9
2026-09-12T10:02:58,9,transfer,fr5_ag95,False,,,False,,set_tamp_env_failed,0.5260;0.2166,0.4776;0.3302,False,,,False,False,False,,,,,,,
2026-09-12T10:04:22,10,transfer,fr5_ag95,True,50.85,454,True,3.64,,0.5089;0.2089,0.5295;0.3642,True,0.00,0.3469;-0.3397,True,True,True,beaker,10.8,,58.57,4.1,6.8,78.7
2026-09-12T10:07:21,11,transfer,fr5_ag95,True,53.61,594,True,3.37,,0.4470;0.1377,0.4960;0.3186,True,0.00,0.3337;-0.3370,True,True,True,beaker,20.8,,58.98,9.8,30.1,68.1
2026-09-12T10:10:16,12,transfer,fr5_ag95,True,52.07,342,True,2.42,,0.5070;0.1363,0.5196;0.2819,True,0.00,0.3556;-0.3590,True,True,True,beaker,10.6,,58.74,24.4,62.7,75.0
2026-09-12T10:13:09,13,transfer,fr5_ag95,True,52.14,487,True,3.43,,0.5014;0.1250,0.5323;0.3103,True,0.00,0.3419;-0.3400,True,True,True,beaker,12.8,,59.02,14.2,31.4,79.0
2026-09-12T10:16:06,14,transfer,fr5_ag95,True,52.05,464,True,1.69,,0.5162;0.1964,0.4911;0.3563,True,0.00,0.3580;-0.3401,True,True,True,beaker,12.7,,58.21,15.0,5.3,57.5
2026-09-12T10:19:24,15,transfer,fr5_ag95,True,51.27,410,True,2.82,,0.5119;0.1593,0.5314;0.3598,True,0.00,0.3388;-0.3378,True,True,True,beaker,16.6,,58.70,3.1,49.3,78.7
2026-09-12T10:22:23,16,transfer,fr5_ag95,True,53.76,333,True,5.74,,0.5274;0.2102,0.5030;0.3775,True,0.00,0.3446;-0.3546,True,True,True,beaker,7.1,,59.31,22.0,7.2,64.3
2026-09-12T10:25:21,17,transfer,fr5_ag95,False,,,False,,set_tamp_env_failed,0.4828;0.1859,0.4354;0.3071,False,,,False,False,False,,,,,,,
