timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check,pour_peak_tilt_deg,pour_lip_err_mm,pour_start_lip_err_mm,pour_lip_height_mm
2026-09-13T15:38:30,0,stir,fr5_dh3,True,41.54,760,True,4.71,,0.5007;0.1977,0.5273;0.3632,False,0.00,-0.1668;0.5902,True,True,True,flask,3.9,"magnet_in_vessel=True(dxy=2mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T15:40:41,1,stir,fr5_dh3,True,36.22,772,True,3.67,,0.5228;0.1657,0.4366;0.3570,False,0.00,-0.1785;0.5772,True,True,True,flask,1.5,"magnet_in_vessel=True(dxy=4mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T15:49:26,2,stir,fr5_dh3,True,45.42,637,True,4.38,,0.4588;0.1303,0.4996;0.3379,False,0.00,-0.1573;0.5618,True,True,True,flask,7.8,"magnet_in_vessel=True(dxy=9mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T15:51:42,3,stir,fr5_dh3,True,38.77,685,True,5.44,,0.4879;0.1407,0.4452;0.3208,False,0.01,-0.1305;0.5775,True,True,True,flask,1.8,"magnet_in_vessel=True(dxy=4mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T15:53:49,4,stir,fr5_dh3,True,38.94,798,True,3.52,,0.5202;0.1422,0.4882;0.3719,False,0.01,-0.1834;0.6103,True,True,True,flask,1.3,"magnet_in_vessel=True(dxy=3mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T15:55:55,5,stir,fr5_dh3,True,43.97,644,True,4.20,,0.4808;0.1293,0.5337;0.3469,False,0.01,-0.1324;0.5544,True,True,True,flask,1.7,"magnet_in_vessel=True(dxy=5mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T15:58:10,6,stir,fr5_dh3,True,41.29,750,True,5.06,,0.5074;0.1577,0.4461;0.2868,False,0.02,-0.1131;0.5951,True,True,True,flask,2.7,"magnet_in_vessel=True(dxy=9mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:00:20,7,stir,fr5_dh3,True,37.41,730,True,1.98,,0.4405;0.2069,0.4806;0.3120,False,0.00,-0.1391;0.6503,True,True,True,flask,1.9,"magnet_in_vessel=True(dxy=1mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:02:28,8,stir,fr5_dh3,True,37.33,842,True,2.26,,0.4838;0.1620,0.4817;0.3058,False,0.00,-0.1427;0.6012,True,True,True,flask,13.8,"magnet_in_vessel=True(dxy=10mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:04:35,9,stir,fr5_dh3,True,40.29,671,True,2.66,,0.5260;0.2166,0.4776;0.3302,False,0.01,-0.1692;0.6245,True,True,True,flask,1.0,"magnet_in_vessel=True(dxy=3mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:06:47,10,stir,fr5_dh3,True,41.03,621,True,2.57,,0.5089;0.2089,0.5295;0.3642,False,0.00,-0.1864;0.6408,True,True,True,flask,0.4,"magnet_in_vessel=True(dxy=5mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:09:12,11,stir,fr5_dh3,True,41.49,717,True,2.64,,0.4470;0.1377,0.4960;0.3186,False,0.01,-0.1175;0.6055,True,True,True,flask,1.1,"magnet_in_vessel=True(dxy=4mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:11:24,12,stir,fr5_dh3,True,36.79,724,True,2.29,,0.5070;0.1363,0.5196;0.2819,False,0.03,-0.1733;0.5662,True,True,True,flask,2.7,"magnet_in_vessel=True(dxy=2mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:13:32,13,stir,fr5_dh3,True,40.13,654,True,2.68,,0.5014;0.1250,0.5323;0.3103,False,0.01,-0.1102;0.6006,True,True,True,flask,8.4,"magnet_in_vessel=True(dxy=7mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:15:53,14,stir,fr5_dh3,True,40.88,715,True,3.66,,0.5162;0.1964,0.4911;0.3563,False,0.02,-0.1040;0.5793,True,True,True,flask,1.2,"magnet_in_vessel=True(dxy=3mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:18:00,15,stir,fr5_dh3,True,36.04,776,True,4.67,,0.5119;0.1593,0.5314;0.3598,False,0.01,-0.1366;0.6392,True,True,True,flask,11.3,"magnet_in_vessel=True(dxy=9mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:20:05,16,stir,fr5_dh3,True,39.01,671,True,2.71,,0.5274;0.2102,0.5030;0.3775,False,0.03,-0.1438;0.5808,True,True,True,flask,10.0,"magnet_in_vessel=True(dxy=14mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:22:13,17,stir,fr5_dh3,False,120.00,0,False,,plan_no_satisfying,0.4828;0.1859,0.4354;0.3071,False,,,False,False,False,,,,,,,
2026-09-13T16:24:53,18,stir,fr5_dh3,True,43.69,659,True,2.04,,0.5044;0.1824,0.4461;0.3130,False,0.01,-0.1401;0.6033,True,True,True,flask,10.8,"magnet_in_vessel=True(dxy=11mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:27:09,19,stir,fr5_dh3,True,39.50,789,True,3.44,,0.5181;0.1786,0.5255;0.3745,False,0.01,-0.1362;0.6417,True,True,True,flask,0.8,"magnet_in_vessel=True(dxy=4mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:29:17,20,stir,fr5_dh3,True,42.98,620,True,2.08,,0.4499;0.2234,0.4787;0.3457,False,0.00,-0.1648;0.5559,True,True,True,flask,3.7,"magnet_in_vessel=True(dxy=3mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:31:35,21,stir,fr5_dh3,True,43.40,629,True,1.80,,0.4823;0.1360,0.5014;0.3014,False,0.01,-0.1060;0.5821,True,True,True,flask,2.4,"magnet_in_vessel=True(dxy=5mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:33:48,22,stir,fr5_dh3,True,39.91,754,True,2.83,,0.5251;0.2084,0.4894;0.3424,False,0.01,-0.1703;0.6345,True,True,True,flask,10.1,"magnet_in_vessel=True(dxy=13mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:36:02,23,stir,fr5_dh3,True,41.29,685,True,2.07,,0.4602;0.1466,0.4809;0.3232,False,0.01,-0.1376;0.6228,True,True,True,flask,1.5,"magnet_in_vessel=True(dxy=1mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:38:16,24,stir,fr5_dh3,True,44.01,728,True,1.70,,0.5274;0.1334,0.5159;0.3529,False,0.01,-0.1496;0.5588,True,True,True,flask,15.4,"magnet_in_vessel=True(dxy=11mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:40:30,25,stir,fr5_dh3,True,44.11,632,True,3.32,,0.5391;0.2034,0.4564;0.3583,False,0.00,-0.1659;0.5804,True,True,True,flask,12.6,"magnet_in_vessel=True(dxy=10mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:42:42,26,stir,fr5_dh3,True,41.30,595,True,1.95,,0.5034;0.1417,0.4514;0.3323,False,0.00,-0.1661;0.6399,True,True,True,flask,0.6,"magnet_in_vessel=True(dxy=1mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:44:53,27,stir,fr5_dh3,True,46.54,664,True,3.33,,0.4410;0.1446,0.5282;0.3220,False,0.01,-0.1375;0.5770,True,True,True,flask,24.4,"magnet_in_vessel=True(dxy=22mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:47:07,28,stir,fr5_dh3,True,40.94,629,True,2.42,,0.5276;0.2198,0.5123;0.3146,False,0.02,-0.1335;0.5504,True,True,True,flask,4.5,"magnet_in_vessel=True(dxy=3mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:49:28,29,stir,fr5_dh3,True,41.92,653,True,2.59,,0.4794;0.1628,0.4577;0.3605,False,0.01,-0.1953;0.6423,True,True,True,flask,3.5,"magnet_in_vessel=True(dxy=2mm,z=0.1129,mouth=0.2124)",,,,
