Timestamp,Task Name,Experiment ID,Success,Attempts Needed,Planning Time (s),Particles Satisfying
2026-03-11 22:18:17,move,N/A,True,0,18.9112,687
2026-03-11 22:19:42,move,N/A,True,0,19.2789,705
2026-03-11 22:20:54,move,N/A,True,0,19.2487,505
2026-03-11 22:22:36,move,N/A,True,0,19.2483,685
2026-03-11 22:23:51,move,N/A,True,0,19.1317,719
2026-03-11 22:25:26,move,N/A,True,0,20.0426,7
2026-03-11 22:26:37,move,N/A,True,0,20.0929,673
2026-03-11 22:31:28,move,N/A,True,0,16.7949,572
2026-03-11 22:34:51,move,N/A,True,0,17.0107,704
2026-03-11 22:36:10,move,N/A,True,0,17.1707,692
2026-03-11 22:37:21,move,N/A,True,0,17.9341,717
2026-03-11 22:38:29,move,N/A,True,0,17.9648,746
2026-03-11 22:39:46,move,N/A,True,0,18.0713,594
2026-03-11 22:41:04,move,N/A,True,0,17.2510,679
2026-03-11 22:42:27,move,N/A,True,0,17.9895,584
