trial,success,planning_time_sec,target_obj_1_x,target_obj_1_y,goal_x,goal_y
1,0,0.11580833300831728,nan,nan,nan,nan
2,1,0.10204762101056986,0.4529584524788278,-0.06961726139896773,0.397329452994901,0.2555792349950153
3,0,0.08659390799584799,nan,nan,nan,nan
4,1,0.1143524789949879,0.45796322818322854,-0.2846099586811778,0.3603063353420881,0.05183329370322359
5,1,0.11465856301947497,0.2685777041834518,0.13431790266611565,0.5195883205819343,0.030333531438350214
6,1,0.21876780901220627,0.4288797133101703,-0.0325205687615166,0.27733900502978176,-0.27730062536237554
7,1,0.08673206198727712,0.4940091041271101,-0.06564530857808559,0.28749828073058786,0.04285438473147607
8,1,0.10082446501473896,0.25696831372421775,0.2130292481567066,0.33946668737147756,-0.2814269400512024
9,1,0.09672868301277049,0.316567752891024,-0.2703740752224119,0.41010777218337074,0.22684556873377676
10,0,0.08489109901711345,nan,nan,nan,nan
11,1,0.6842616130015813,0.4320972186894761,-0.2614521556536324,0.5221465522903002,0.11465603076179981
12,1,0.24820299999555573,0.3078077211671993,0.22876275368073168,0.48868153788864427,-0.07035105415812537
13,1,0.12362355302320793,0.43850236221768923,0.19286537929526398,0.37117007512813893,-0.30657146552869724
14,1,0.11361158598447219,0.44207431266667574,-0.18645421379636146,0.4905315126689493,0.148984260190257
15,1,0.14864905501599424,0.47506855445682894,-0.08300379927548646,0.2866813734734391,-0.2162080844816754
16,1,0.2331342109828256,0.4269427891362342,0.2657701840497068,0.3650967913098762,-0.14201999147596106
17,1,0.0858029399823863,0.43370886281480336,0.07559747175366605,0.4797789559968021,0.2914141765211627
18,1,0.16734825700405054,0.50407697548773,-0.19221312851315742,0.30048192051905454,0.046623111994236466
19,1,0.13800284400349483,0.4147319020386904,0.09836585962288069,0.45771779228455156,-0.2237374975294696
20,1,0.12748229099088348,0.3614985306955194,-0.1823308437298222,0.4691642670837465,0.2861152216883092
21,1,0.09232607600279152,0.38935177525540576,-0.2657345095138891,0.335856389268977,0.08198197973240284
22,0,0.08612186298705637,nan,nan,nan,nan
23,1,0.11902909798664041,0.326913955150753,0.08704717691510355,0.3323061228431818,-0.14556611205046202
24,1,0.14821104099974036,0.397460502094264,0.19742492507601833,0.3345534124200403,-0.06483344723510215
25,1,0.10459778900258243,0.45125506322825243,-0.3112524662624179,0.382186237283947,0.0979093841032509
26,0,0.08832453802460805,nan,nan,nan,nan
27,1,0.11990479798987508,0.5108394619777625,0.218901191797729,0.44902891617320884,-0.11441217922881869
28,1,0.22711732098832726,0.5159261844256771,0.2547873918579477,0.32800818197626025,-0.03686637306127255
29,1,0.3397736930055544,0.5083557009337729,0.2869994940506599,0.5106477517604393,-0.15191893448309365
30,1,0.1346311160014011,0.31331979786137715,0.20658468944814729,0.32037698820919114,-0.22535829789594103
