Timestamp,Task Name,Experiment ID,Success,Attempts Needed,Planning Time (s),Particles Satisfying
2026-03-11 21:40:47,move,N/A,True,0,15.9272,736
2026-03-11 21:42:51,move,N/A,True,0,16.3310,669
2026-03-11 21:44:18,move,N/A,True,0,16.3390,678
2026-03-11 21:45:42,move,N/A,True,0,16.2155,731
2026-03-11 21:47:20,move,N/A,True,0,16.9750,773
2026-03-11 21:49:47,move,N/A,True,0,16.8631,696
2026-03-11 21:50:59,move,N/A,True,0,16.9212,741
2026-03-11 21:52:52,move,N/A,True,0,16.6953,744
2026-03-11 21:58:05,move,N/A,True,0,16.1923,741
2026-03-11 21:59:24,move,N/A,True,0,16.5346,724
2026-03-11 22:00:59,move,N/A,True,0,16.7014,742
2026-03-11 22:03:02,move,N/A,True,0,16.5161,552
2026-03-11 22:04:16,move,N/A,True,0,16.4744,721
2026-03-11 22:05:49,move,N/A,True,0,16.6886,719
2026-03-11 22:07:22,move,N/A,True,0,16.6693,788
