timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy
2026-09-01T17:01:21,0,transfer,fr5_ag95,True,26.41,51,True,4.01,,0.5007;0.1977,0.5273;0.3632
2026-09-01T17:03:12,1,transfer,fr5_ag95,True,26.04,116,True,3.47,,0.5228;0.1657,0.4366;0.3570
2026-09-01T17:05:07,2,transfer,fr5_ag95,True,26.11,66,True,3.60,,0.4588;0.1303,0.4996;0.3379
2026-09-01T17:43:34,0,transfer,fr5_ag95,False,77.98,0,False,,plan_no_satisfying,0.5007;0.1977,0.5273;0.3632
2026-09-01T17:45:55,0,transfer,fr5_ag95,False,81.92,0,False,,plan_no_satisfying,0.5007;0.1977,0.5273;0.3632
2026-09-01T17:48:28,0,transfer,fr5_ag95,True,51.06,60,True,1.61,,0.5007;0.1977,0.5273;0.3632
2026-09-01T17:51:56,1,transfer,fr5_ag95,True,26.64,194,True,3.95,,0.5228;0.1657,0.4366;0.3570
2026-09-01T17:54:42,2,transfer,fr5_ag95,True,39.27,200,True,3.77,,0.4588;0.1303,0.4996;0.3379
