timestamp,seed,task,planner,robot,plan_success,planning_time_s,failure_reason,beaker_xy,flask_xy,max_time_s
2026-09-11T19:17:26,0,move,pddlstream,fr5_vgc10_pb,1,0.08948824706021696,,0.5007;0.1977,0.5273;0.3632,180.0
2026-09-11T19:17:26,1,move,pddlstream,fr5_vgc10_pb,1,0.152934257988818,,0.5228;0.1657,0.4366;0.3570,180.0
2026-09-11T19:17:27,2,move,pddlstream,fr5_vgc10_pb,1,0.4925586519530043,,0.4588;0.1303,0.4996;0.3379,180.0
2026-09-11T19:17:27,3,move,pddlstream,fr5_vgc10_pb,1,0.3927558520808816,,0.4879;0.1407,0.4452;0.3208,180.0
2026-09-11T19:17:28,4,move,pddlstream,fr5_vgc10_pb,1,0.4375015600817278,,0.5202;0.1422,0.4882;0.3719,180.0
2026-09-11T19:17:28,5,move,pddlstream,fr5_vgc10_pb,1,0.0625123610952869,,0.4808;0.1293,0.5337;0.3469,180.0
2026-09-11T19:17:28,6,move,pddlstream,fr5_vgc10_pb,1,0.13791256700642407,,0.5074;0.1577,0.4461;0.2868,180.0
2026-09-11T19:17:28,7,move,pddlstream,fr5_vgc10_pb,1,0.09516416199039668,,0.4405;0.2069,0.4806;0.3120,180.0
2026-09-11T19:17:28,8,move,pddlstream,fr5_vgc10_pb,1,0.0853687459602952,,0.4838;0.1620,0.4817;0.3058,180.0
2026-09-11T19:17:28,9,move,pddlstream,fr5_vgc10_pb,1,0.10934324900154024,,0.5260;0.2166,0.4776;0.3302,180.0
2026-09-11T19:17:29,10,move,pddlstream,fr5_vgc10_pb,1,0.14002811792306602,,0.5089;0.2089,0.5295;0.3642,180.0
2026-09-11T19:17:29,11,move,pddlstream,fr5_vgc10_pb,1,0.20705236797221005,,0.4470;0.1377,0.4960;0.3186,180.0
2026-09-11T19:17:29,12,move,pddlstream,fr5_vgc10_pb,1,0.07805590995121747,,0.5070;0.1363,0.5196;0.2819,180.0
2026-09-11T19:17:29,13,move,pddlstream,fr5_vgc10_pb,1,0.13557165605016053,,0.5014;0.1250,0.5323;0.3103,180.0
2026-09-11T19:17:29,14,move,pddlstream,fr5_vgc10_pb,1,0.0896052619209513,,0.5162;0.1964,0.4911;0.3563,180.0
2026-09-11T19:17:30,15,move,pddlstream,fr5_vgc10_pb,1,0.12771550402976573,,0.5119;0.1593,0.5314;0.3598,180.0
2026-09-11T19:17:30,16,move,pddlstream,fr5_vgc10_pb,1,0.08957955299410969,,0.5275;0.2102,0.5030;0.3775,180.0
2026-09-11T19:17:30,17,move,pddlstream,fr5_vgc10_pb,1,0.20506025501526892,,0.4828;0.1859,0.4354;0.3071,180.0
2026-09-11T19:17:30,18,move,pddlstream,fr5_vgc10_pb,1,0.07573849300388247,,0.5044;0.1824,0.4461;0.3130,180.0
2026-09-11T19:17:30,19,move,pddlstream,fr5_vgc10_pb,1,0.09134786098729819,,0.5181;0.1786,0.5255;0.3745,180.0
2026-09-11T19:17:31,20,move,pddlstream,fr5_vgc10_pb,1,0.20300526299979538,,0.4499;0.2234,0.4787;0.3457,180.0
2026-09-11T19:17:31,21,move,pddlstream,fr5_vgc10_pb,1,0.10662901599425822,,0.4823;0.1360,0.5014;0.3014,180.0
2026-09-11T19:17:31,22,move,pddlstream,fr5_vgc10_pb,1,0.23009818408172578,,0.5252;0.2084,0.4894;0.3424,180.0
2026-09-11T19:17:32,23,move,pddlstream,fr5_vgc10_pb,1,0.32131170702632517,,0.4602;0.1466,0.4809;0.3232,180.0
2026-09-11T19:17:32,24,move,pddlstream,fr5_vgc10_pb,1,0.18681788898538798,,0.5274;0.1334,0.5159;0.3529,180.0
2026-09-11T19:17:32,25,move,pddlstream,fr5_vgc10_pb,1,0.09464152995496988,,0.5391;0.2034,0.4564;0.3583,180.0
2026-09-11T19:17:32,26,move,pddlstream,fr5_vgc10_pb,1,0.09878809191286564,,0.5034;0.1417,0.4514;0.3323,180.0
2026-09-11T19:17:32,27,move,pddlstream,fr5_vgc10_pb,1,0.19112190906889737,,0.4410;0.1446,0.5282;0.3220,180.0
2026-09-11T19:17:33,28,move,pddlstream,fr5_vgc10_pb,1,0.20551964594051242,,0.5276;0.2198,0.5123;0.3146,180.0
2026-09-11T19:17:33,29,move,pddlstream,fr5_vgc10_pb,1,0.2930667049949989,,0.4794;0.1628,0.4577;0.3605,180.0
