timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check,pour_peak_tilt_deg,pour_lip_err_mm,pour_start_lip_err_mm,pour_lip_height_mm
2026-09-14T15:41:21,1,transfer,fr5_ag95,True,66.35,582,True,11.22,,0.5228;0.1657,0.4366;0.3570,True,0.00,0.3578;-0.3564,True,True,True,beaker,10.0,,48.76,49.7,44.7,153.1
2026-09-14T15:43:51,2,transfer,fr5_ag95,True,74.56,392,True,6.90,,0.4588;0.1303,0.4996;0.3379,True,0.00,0.3441;-0.3594,True,True,True,beaker,11.1,,56.43,18.6,57.8,81.6
2026-09-14T15:46:24,3,transfer,fr5_ag95,True,65.34,507,True,12.20,,0.4879;0.1407,0.4452;0.3208,True,0.00,0.3316;-0.3397,True,True,True,beaker,21.1,,58.89,31.1,67.8,70.9
2026-09-14T15:49:17,7,transfer,fr5_ag95,True,68.43,308,True,3.08,,0.4405;0.2069,0.4806;0.3120,True,0.00,0.3434;-0.3396,True,True,True,beaker,12.3,,58.36,5.5,36.2,69.8
2026-09-14T15:51:40,8,transfer,fr5_ag95,True,139.79,205,True,5.32,,0.4838;0.1620,0.4817;0.3058,True,0.00,0.3621;-0.3404,True,True,True,beaker,15.5,,59.21,28.7,20.8,76.3
2026-09-14T15:55:19,14,transfer,fr5_ag95,True,65.17,533,True,10.49,,0.5162;0.1964,0.4911;0.3563,True,0.00,0.3382;-0.3392,True,True,True,beaker,16.0,,35.90,21.0,26.4,168.1
2026-09-14T15:57:49,18,transfer,fr5_ag95,True,70.83,325,True,2.63,,0.5044;0.1824,0.4461;0.3130,True,0.00,0.3590;-0.3567,True,True,True,beaker,11.2,,46.40,18.0,52.0,119.3
2026-09-14T16:00:23,20,transfer,fr5_ag95,True,61.46,110,True,6.96,,0.4499;0.2234,0.4787;0.3457,True,0.00,0.3582;-0.3600,True,True,True,beaker,13.0,,49.74,62.9,31.0,150.4
2026-09-14T16:02:51,22,transfer,fr5_ag95,True,66.38,173,True,4.80,,0.5251;0.2084,0.4894;0.3424,True,0.00,0.3476;-0.3409,True,True,True,beaker,9.4,,57.06,14.6,33.8,82.1
