timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success
2026-09-09T13:47:30,0,transfer,fr5_ag95,True,82.36,241,True,11.18,,0.5007;0.1977,0.5273;0.3632,True,0.00,0.3491;-0.3408,True,True,True
2026-09-09T13:51:09,1,transfer,fr5_ag95,True,78.12,393,True,10.42,,0.5228;0.1657,0.4366;0.3570,True,0.00,0.3427;-0.3392,True,True,True
2026-09-09T13:54:38,2,transfer,fr5_ag95,True,46.99,481,True,11.16,,0.4588;0.1303,0.4996;0.3379,True,0.00,0.3558;-0.3572,True,True,True
2026-09-09T13:57:25,3,transfer,fr5_ag95,True,44.29,487,True,6.79,,0.4879;0.1407,0.4452;0.3208,True,0.00,0.3553;-0.3385,True,True,True
2026-09-09T13:59:59,4,transfer,fr5_ag95,True,42.51,481,True,1.78,,0.5202;0.1422,0.4882;0.3719,True,0.00,0.3618;-0.3560,True,True,True
2026-09-09T14:02:38,5,transfer,fr5_ag95,True,85.97,473,True,3.83,,0.4808;0.1293,0.5337;0.3469,True,0.00,0.3593;-0.3512,True,True,True
2026-09-09T14:06:02,6,transfer,fr5_ag95,True,40.36,483,True,3.44,,0.5074;0.1577,0.4461;0.2868,True,0.00,0.3615;-0.3506,True,True,True
2026-09-09T14:08:32,7,transfer,fr5_ag95,True,40.20,58,True,2.91,,0.4405;0.2069,0.4806;0.3120,True,0.00,0.3628;-0.3349,True,True,True
2026-09-09T14:11:17,8,transfer,fr5_ag95,True,85.02,484,True,2.03,,0.4838;0.1620,0.4817;0.3058,True,0.00,0.3515;-0.3411,True,True,True
2026-09-09T14:14:38,9,transfer,fr5_ag95,True,87.70,422,True,1.76,,0.5260;0.2166,0.4776;0.3302,True,0.00,0.3413;-0.3427,True,True,True
2026-09-09T14:18:15,10,transfer,fr5_ag95,True,132.29,358,True,1.58,,0.5089;0.2089,0.5295;0.3642,True,0.00,0.3486;-0.3363,True,True,True
2026-09-09T14:22:23,11,transfer,fr5_ag95,True,42.17,402,True,2.79,,0.4470;0.1377,0.4960;0.3186,True,0.00,0.3412;-0.3396,True,True,True
2026-09-09T14:25:07,12,transfer,fr5_ag95,True,47.15,362,True,1.75,,0.5070;0.1363,0.5196;0.2819,True,0.00,0.3498;-0.3350,True,True,True
2026-09-09T14:27:47,13,transfer,fr5_ag95,True,40.14,440,True,1.73,,0.5014;0.1250,0.5323;0.3103,True,0.00,0.3414;-0.3436,True,True,True
2026-09-09T14:30:15,14,transfer,fr5_ag95,True,39.66,352,True,1.14,,0.5162;0.1964,0.4911;0.3563,True,0.00,0.3671;-0.3613,True,True,True
2026-09-09T14:32:49,15,transfer,fr5_ag95,True,39.80,381,True,2.51,,0.5119;0.1593,0.5314;0.3598,True,0.00,0.3587;-0.3479,True,True,True
2026-09-09T14:35:27,16,transfer,fr5_ag95,True,39.23,505,True,1.96,,0.5274;0.2102,0.5030;0.3775,True,0.00,0.3497;-0.3408,True,True,True
2026-09-09T14:38:00,17,transfer,fr5_ag95,True,39.51,437,True,2.25,,0.4828;0.1859,0.4354;0.3071,True,0.00,0.3410;-0.3409,True,True,True
2026-09-09T14:40:36,18,transfer,fr5_ag95,True,39.79,362,True,4.55,,0.5044;0.1824,0.4461;0.3130,True,0.00,0.3557;-0.3452,True,True,True
2026-09-09T14:43:07,19,transfer,fr5_ag95,True,39.59,376,True,1.97,,0.5181;0.1786,0.5255;0.3745,True,0.00,0.3574;-0.3549,True,True,True
2026-09-09T14:46:25,20,transfer,fr5_ag95,True,46.58,255,True,2.41,,0.4499;0.2234,0.4787;0.3457,True,0.00,0.3586;-0.3568,True,True,True
2026-09-09T14:49:00,21,transfer,fr5_ag95,True,39.27,577,True,1.78,,0.4823;0.1360,0.5014;0.3014,True,0.00,0.3591;-0.3403,True,True,True
2026-09-09T14:51:34,22,transfer,fr5_ag95,True,46.77,332,True,6.29,,0.5251;0.2084,0.4894;0.3424,True,0.00,0.3499;-0.3411,True,True,True
2026-09-09T14:54:26,23,transfer,fr5_ag95,True,39.05,478,True,5.44,,0.4602;0.1466,0.4809;0.3232,True,0.00,0.3592;-0.3521,True,True,True
2026-09-09T14:56:58,24,transfer,fr5_ag95,True,42.29,399,True,4.21,,0.5274;0.1334,0.5159;0.3529,True,0.00,0.3427;-0.3465,True,True,True
2026-09-09T14:59:40,25,transfer,fr5_ag95,True,42.28,319,True,1.83,,0.5391;0.2034,0.4564;0.3583,True,0.00,0.3504;-0.3429,True,True,True
2026-09-09T15:02:23,26,transfer,fr5_ag95,True,41.65,517,True,3.19,,0.5034;0.1417,0.4514;0.3323,True,0.00,0.3546;-0.3433,True,True,True
2026-09-09T15:05:02,27,transfer,fr5_ag95,True,89.11,424,True,3.31,,0.4410;0.1446,0.5282;0.3220,True,0.00,0.3566;-0.3609,True,True,True
2026-09-09T15:08:24,28,transfer,fr5_ag95,True,41.75,192,True,3.63,,0.5276;0.2198,0.5123;0.3146,True,0.00,0.3623;-0.3551,True,True,True
2026-09-09T15:11:03,29,transfer,fr5_ag95,True,40.20,380,True,2.32,,0.4794;0.1628,0.4577;0.3605,True,0.00,0.3652;-0.3378,True,True,True
