timestamp,seed,task,planner,robot,plan_success,planning_time_s,failure_reason,beaker_xy,flask_xy,max_time_s,planner_seed
2026-09-13T11:56:00,0,move,pddlstream,fr5_vgc10_pb,1,0.11783395404927433,,0.5007;0.1977,0.5273;0.3632,180.0,0
2026-09-13T11:56:00,1,move,pddlstream,fr5_vgc10_pb,1,0.11139444122090936,,0.5228;0.1657,0.4366;0.3570,180.0,0
2026-09-13T11:56:00,2,move,pddlstream,fr5_vgc10_pb,1,0.07251666695810854,,0.4588;0.1303,0.4996;0.3379,180.0,0
2026-09-13T11:56:00,3,move,pddlstream,fr5_vgc10_pb,1,0.13692891993559897,,0.4879;0.1407,0.4452;0.3208,180.0,0
2026-09-13T11:56:01,4,move,pddlstream,fr5_vgc10_pb,1,0.791103052906692,,0.5202;0.1422,0.4882;0.3719,180.0,0
2026-09-13T11:56:01,5,move,pddlstream,fr5_vgc10_pb,1,0.14082972006872296,,0.4808;0.1293,0.5337;0.3469,180.0,0
2026-09-13T11:56:01,6,move,pddlstream,fr5_vgc10_pb,1,0.08078254596330225,,0.5074;0.1577,0.4461;0.2868,180.0,0
2026-09-13T11:56:02,7,move,pddlstream,fr5_vgc10_pb,1,0.3077404529321939,,0.4405;0.2069,0.4806;0.3120,180.0,0
2026-09-13T11:56:02,8,move,pddlstream,fr5_vgc10_pb,1,0.06898912088945508,,0.4838;0.1620,0.4817;0.3058,180.0,0
2026-09-13T11:56:02,9,move,pddlstream,fr5_vgc10_pb,1,0.08694349182769656,,0.5260;0.2166,0.4776;0.3302,180.0,0
2026-09-13T11:56:02,10,move,pddlstream,fr5_vgc10_pb,1,0.13475526287220418,,0.5089;0.2089,0.5295;0.3642,180.0,0
2026-09-13T11:56:02,11,move,pddlstream,fr5_vgc10_pb,1,0.131638343911618,,0.4470;0.1377,0.4960;0.3186,180.0,0
2026-09-13T11:56:03,12,move,pddlstream,fr5_vgc10_pb,1,0.08262505196034908,,0.5070;0.1363,0.5196;0.2819,180.0,0
2026-09-13T11:56:03,13,move,pddlstream,fr5_vgc10_pb,1,0.10396111197769642,,0.5014;0.1250,0.5323;0.3103,180.0,0
2026-09-13T11:56:03,14,move,pddlstream,fr5_vgc10_pb,1,0.08419339591637254,,0.5162;0.1964,0.4911;0.3563,180.0,0
2026-09-13T11:56:03,15,move,pddlstream,fr5_vgc10_pb,1,0.11374056898057461,,0.5119;0.1593,0.5314;0.3598,180.0,0
2026-09-13T11:56:03,16,move,pddlstream,fr5_vgc10_pb,1,0.0834988821297884,,0.5275;0.2102,0.5030;0.3775,180.0,0
2026-09-13T11:56:03,17,move,pddlstream,fr5_vgc10_pb,1,0.1350850099697709,,0.4828;0.1859,0.4354;0.3071,180.0,0
2026-09-13T11:56:04,18,move,pddlstream,fr5_vgc10_pb,1,0.08475194708444178,,0.5044;0.1824,0.4461;0.3130,180.0,0
2026-09-13T11:56:04,19,move,pddlstream,fr5_vgc10_pb,1,0.06532612699083984,,0.5181;0.1786,0.5255;0.3745,180.0,0
2026-09-13T11:56:04,20,move,pddlstream,fr5_vgc10_pb,1,0.08975462894886732,,0.4499;0.2234,0.4787;0.3457,180.0,0
2026-09-13T11:56:04,21,move,pddlstream,fr5_vgc10_pb,1,0.12160958908498287,,0.4823;0.1360,0.5014;0.3014,180.0,0
2026-09-13T11:56:04,22,move,pddlstream,fr5_vgc10_pb,1,0.21130457310937345,,0.5252;0.2084,0.4894;0.3424,180.0,0
2026-09-13T11:56:04,23,move,pddlstream,fr5_vgc10_pb,1,0.11095520295202732,,0.4602;0.1466,0.4809;0.3232,180.0,0
2026-09-13T11:56:05,24,move,pddlstream,fr5_vgc10_pb,1,0.12711485801264644,,0.5274;0.1334,0.5159;0.3529,180.0,0
2026-09-13T11:56:05,25,move,pddlstream,fr5_vgc10_pb,1,0.20349646010436118,,0.5391;0.2034,0.4564;0.3583,180.0,0
2026-09-13T11:56:05,26,move,pddlstream,fr5_vgc10_pb,1,0.10028498410247266,,0.5034;0.1417,0.4514;0.3323,180.0,0
2026-09-13T11:56:05,27,move,pddlstream,fr5_vgc10_pb,1,0.08696211106143892,,0.4410;0.1446,0.5282;0.3220,180.0,0
2026-09-13T11:56:05,28,move,pddlstream,fr5_vgc10_pb,1,0.08918501692824066,,0.5276;0.2198,0.5123;0.3146,180.0,0
2026-09-13T11:56:06,29,move,pddlstream,fr5_vgc10_pb,1,0.11921097990125418,,0.4794;0.1628,0.4577;0.3605,180.0,0
2026-09-13T11:56:06,0,move,pddlstream,fr5_vgc10_pb,1,0.07018806599080563,,0.5007;0.1977,0.5273;0.3632,180.0,1
2026-09-13T11:56:06,1,move,pddlstream,fr5_vgc10_pb,1,0.0695783980190754,,0.5228;0.1657,0.4366;0.3570,180.0,1
2026-09-13T11:56:06,2,move,pddlstream,fr5_vgc10_pb,1,0.12204262311570346,,0.4588;0.1303,0.4996;0.3379,180.0,1
2026-09-13T11:56:06,3,move,pddlstream,fr5_vgc10_pb,1,0.07064009387977421,,0.4879;0.1407,0.4452;0.3208,180.0,1
2026-09-13T11:56:07,4,move,pddlstream,fr5_vgc10_pb,1,0.09280771785415709,,0.5202;0.1422,0.4882;0.3719,180.0,1
