timestamp,seed,planner,robot,plan_success,planning_time_s,failure_reason,beaker_xy,flask_xy,max_time_s
2026-09-11T18:41:32,0,pddlstream,fr5_ag95,0,0.8062059180811048,no_plan_within_budget,0.5007;0.1977,0.5273;0.3632,60.0
2026-09-11T18:41:33,1,pddlstream,fr5_ag95,0,0.8205062500201166,no_plan_within_budget,0.5228;0.1657,0.4366;0.3570,60.0
2026-09-11T18:41:38,2,pddlstream,fr5_ag95,1,4.375877019017935,,0.4588;0.1303,0.4996;0.3379,60.0
2026-09-11T18:41:38,3,pddlstream,fr5_ag95,0,0.6076341840671375,no_plan_within_budget,0.4879;0.1407,0.4452;0.3208,60.0
2026-09-11T18:41:40,4,pddlstream,fr5_ag95,1,1.9456091440515593,,0.5202;0.1422,0.4882;0.3719,60.0
2026-09-11T18:41:43,5,pddlstream,fr5_ag95,1,2.8626529049361125,,0.4808;0.1293,0.5337;0.3469,60.0
2026-09-11T18:41:44,6,pddlstream,fr5_ag95,1,0.6672479889821261,,0.5074;0.1577,0.4461;0.2868,60.0
2026-09-11T18:41:45,7,pddlstream,fr5_ag95,1,0.41228534700348973,,0.4405;0.2069,0.4806;0.3120,60.0
2026-09-11T18:41:47,8,pddlstream,fr5_ag95,1,2.5089699050877243,,0.4838;0.1620,0.4817;0.3058,60.0
2026-09-11T18:42:49,9,pddlstream,fr5_ag95,0,61.36457527196035,no_plan_within_budget,0.5260;0.2166,0.4776;0.3302,60.0
2026-09-11T18:42:49,10,pddlstream,fr5_ag95,1,0.26790244900621474,,0.5089;0.2089,0.5295;0.3642,60.0
2026-09-11T18:42:51,11,pddlstream,fr5_ag95,1,1.9125032268930227,,0.4470;0.1377,0.4960;0.3186,60.0
2026-09-11T18:42:56,12,pddlstream,fr5_ag95,1,4.491293358034454,,0.5070;0.1363,0.5196;0.2819,60.0
2026-09-11T18:43:02,13,pddlstream,fr5_ag95,1,6.562254335032776,,0.5014;0.1250,0.5323;0.3103,60.0
2026-09-11T18:43:03,14,pddlstream,fr5_ag95,1,0.9141162011073902,,0.5162;0.1964,0.4911;0.3563,60.0
2026-09-11T18:43:04,15,pddlstream,fr5_ag95,1,0.9876199209829792,,0.5119;0.1593,0.5314;0.3598,60.0
2026-09-11T18:44:05,16,pddlstream,fr5_ag95,0,60.10069700598251,no_plan_within_budget,0.5275;0.2102,0.5030;0.3775,60.0
2026-09-11T18:44:06,17,pddlstream,fr5_ag95,1,1.3576190340099856,,0.4828;0.1859,0.4354;0.3071,60.0
2026-09-11T18:45:06,18,pddlstream,fr5_ag95,0,60.00415587192401,no_plan_within_budget,0.5044;0.1824,0.4461;0.3130,60.0
2026-09-11T18:45:07,19,pddlstream,fr5_ag95,1,0.3285437320591882,,0.5181;0.1786,0.5255;0.3745,60.0
2026-09-11T18:46:07,20,pddlstream,fr5_ag95,0,60.00522024102975,no_plan_within_budget,0.4499;0.2234,0.4787;0.3457,60.0
2026-09-11T18:46:07,21,pddlstream,fr5_ag95,0,0.286678692093119,no_plan_within_budget,0.4823;0.1360,0.5014;0.3014,60.0
2026-09-11T18:46:20,22,pddlstream,fr5_ag95,0,13.055444712983444,no_plan_within_budget,0.5252;0.2084,0.4894;0.3424,60.0
2026-09-11T18:46:56,23,pddlstream,fr5_ag95,1,36.02991465898231,,0.4602;0.1466,0.4809;0.3232,60.0
2026-09-11T18:47:57,24,pddlstream,fr5_ag95,0,60.23362685798202,no_plan_within_budget,0.5274;0.1334,0.5159;0.3529,60.0
2026-09-11T18:48:58,25,pddlstream,fr5_ag95,0,60.78882226604037,no_plan_within_budget,0.5391;0.2034,0.4564;0.3583,60.0
2026-09-11T18:48:59,26,pddlstream,fr5_ag95,1,1.4974653790704906,,0.5034;0.1417,0.4514;0.3323,60.0
2026-09-11T18:49:02,27,pddlstream,fr5_ag95,1,2.757474923040718,,0.4410;0.1446,0.5282;0.3220,60.0
2026-09-11T18:49:06,28,pddlstream,fr5_ag95,1,3.888974225963466,,0.5276;0.2198,0.5123;0.3146,60.0
2026-09-11T18:49:12,29,pddlstream,fr5_ag95,0,6.314434320083819,no_plan_within_budget,0.4794;0.1628,0.4577;0.3605,60.0
