timestamp,seed,task,planner,robot,plan_success,planning_time_s,failure_reason,beaker_xy,flask_xy,max_time_s
2026-09-11T19:17:35,0,stir,pddlstream,fr5_dh3_pb,1,0.973847561981529,,0.5007;0.1977,0.5273;0.3632,180.0
2026-09-11T19:17:36,1,stir,pddlstream,fr5_dh3_pb,1,0.9268858879804611,,0.5228;0.1657,0.4366;0.3570,180.0
2026-09-11T19:17:37,2,stir,pddlstream,fr5_dh3_pb,0,1.3638726769713685,no_plan_within_budget,0.4588;0.1303,0.4996;0.3379,180.0
2026-09-11T19:17:39,3,stir,pddlstream,fr5_dh3_pb,1,1.5657562920823693,,0.4879;0.1407,0.4452;0.3208,180.0
2026-09-11T19:17:39,4,stir,pddlstream,fr5_dh3_pb,1,0.47502839902881533,,0.5202;0.1422,0.4882;0.3719,180.0
2026-09-11T19:17:40,5,stir,pddlstream,fr5_dh3_pb,1,0.3765286230482161,,0.4808;0.1293,0.5337;0.3469,180.0
2026-09-11T19:17:41,6,stir,pddlstream,fr5_dh3_pb,1,0.4893016630085185,,0.5074;0.1577,0.4461;0.2868,180.0
2026-09-11T19:17:42,7,stir,pddlstream,fr5_dh3_pb,0,1.6949757799739018,no_plan_within_budget,0.4405;0.2069,0.4806;0.3120,180.0
2026-09-11T19:17:43,8,stir,pddlstream,fr5_dh3_pb,1,0.46731009299401194,,0.4838;0.1620,0.4817;0.3058,180.0
2026-09-11T19:17:44,9,stir,pddlstream,fr5_dh3_pb,1,0.8051522300811484,,0.5260;0.2166,0.4776;0.3302,180.0
2026-09-11T19:17:45,10,stir,pddlstream,fr5_dh3_pb,1,1.3991649620002136,,0.5089;0.2089,0.5295;0.3642,180.0
2026-09-11T19:17:46,11,stir,pddlstream,fr5_dh3_pb,1,0.3912971270037815,,0.4470;0.1377,0.4960;0.3186,180.0
2026-09-11T19:17:47,12,stir,pddlstream,fr5_dh3_pb,1,0.5119228920666501,,0.5070;0.1363,0.5196;0.2819,180.0
2026-09-11T19:17:48,13,stir,pddlstream,fr5_dh3_pb,1,0.9057290269993246,,0.5014;0.1250,0.5323;0.3103,180.0
2026-09-11T19:17:50,14,stir,pddlstream,fr5_dh3_pb,0,2.0624549869680777,no_plan_within_budget,0.5162;0.1964,0.4911;0.3563,180.0
2026-09-11T19:17:51,15,stir,pddlstream,fr5_dh3_pb,1,0.6715769139118493,,0.5119;0.1593,0.5314;0.3598,180.0
2026-09-11T19:17:52,16,stir,pddlstream,fr5_dh3_pb,1,1.411380835925229,,0.5275;0.2102,0.5030;0.3775,180.0
2026-09-11T19:17:54,17,stir,pddlstream,fr5_dh3_pb,1,1.4565327829914168,,0.4828;0.1859,0.4354;0.3071,180.0
2026-09-11T19:17:55,18,stir,pddlstream,fr5_dh3_pb,1,1.0548491580411792,,0.5044;0.1824,0.4461;0.3130,180.0
2026-09-11T19:17:57,19,stir,pddlstream,fr5_dh3_pb,0,1.8029176630079746,no_plan_within_budget,0.5181;0.1786,0.5255;0.3745,180.0
2026-09-11T19:17:59,20,stir,pddlstream,fr5_dh3_pb,0,1.7246652690228075,no_plan_within_budget,0.4499;0.2234,0.4787;0.3457,180.0
2026-09-11T19:18:00,21,stir,pddlstream,fr5_dh3_pb,0,1.2274189600721002,no_plan_within_budget,0.4823;0.1360,0.5014;0.3014,180.0
2026-09-11T19:18:01,22,stir,pddlstream,fr5_dh3_pb,1,0.5715957010397688,,0.5252;0.2084,0.4894;0.3424,180.0
2026-09-11T19:18:03,23,stir,pddlstream,fr5_dh3_pb,0,1.5568497410276905,no_plan_within_budget,0.4602;0.1466,0.4809;0.3232,180.0
2026-09-11T19:18:04,24,stir,pddlstream,fr5_dh3_pb,1,0.829536450910382,,0.5274;0.1334,0.5159;0.3529,180.0
2026-09-11T19:18:04,25,stir,pddlstream,fr5_dh3_pb,1,0.3827620829688385,,0.5391;0.2034,0.4564;0.3583,180.0
2026-09-11T19:18:05,26,stir,pddlstream,fr5_dh3_pb,1,0.971380532020703,,0.5034;0.1417,0.4514;0.3323,180.0
2026-09-11T19:18:07,27,stir,pddlstream,fr5_dh3_pb,0,1.4161901549668983,no_plan_within_budget,0.4410;0.1446,0.5282;0.3220,180.0
2026-09-11T19:18:08,28,stir,pddlstream,fr5_dh3_pb,1,1.5855745449662209,,0.5276;0.2198,0.5123;0.3146,180.0
2026-09-11T19:18:10,29,stir,pddlstream,fr5_dh3_pb,1,1.7849602189380676,,0.4794;0.1628,0.4577;0.3605,180.0
