trial,env_name,success,planning_time_sec,attempts,total_num_satisfying
# rearrange 상태에서 transfer
65,stir,True,26.0312,1,347
66,stir,True,26.1428,1,630
67,stir,True,26.1428,1,543
68,stir,True,26.1498,1,510
69,stir,True,25.9815,1,570
70,stir,True,26.0938,1,611
71,stir,True,26.1004,1,640
72,stir,True,25.0141,1,758
73,stir,True,25.0144,1,472
74,stir,True,26.2516,1,626
75,stir,True,25.564,1,452
76,stir,True,25.481,1,734
77,stir,True,24.4826,1,522
78,stir,True,26.1313,1,741
79,stir,True,26.0144,1,709
80,stir,True,25.1318,1,673
81,stir,True,26.0767,1,590
82,stir,True,26.0265,1,645
83,stir,True,26.097,1,788
84,stir,True,24.9922,1,752
85,stir,True,26.0259,1,751
86,stir,True,26.0144,1,575
87,stir,True,25.1845,1,78
88,stir,True,25.1994,1,695
89,stir,True,26.1136,1,612
90,stir,True,26.1299,1,729
91,stir,True,24.734,1,779
92,stir,True,26.0619,1,454
93,stir,True,26.0149,1,595
94,stir,True,26.11,1,648
95,stir,True,25.9752,1,587
96,stir,True,23.9829,1,697
97,stir,True,26.0634,1,623
98,stir,True,24.5117,1,703
99,stir,True,26.0818,1,4
100,stir,True,26.0123,1,625
101,stir,True,26.031,1,732
102,stir,True,26.0961,1,688
103,stir,True,26.1635,1,715
104,stir,True,26.0089,1,703
105,stir,True,26.0583,1,675
106,stir,True,25.1172,1,722
107,stir,True,26.1465,1,773
108,stir,True,25.2148,1,734
109,stir,True,23.6008,1,766
110,stir,True,26.9823,1,643
111,stir,True,25.8003,1,733
112,stir,True,25.9098,1,724
113,stir,True,24.963,1,501
114,stir,True,26.066,1,694
115,stir,True,25.9482,1,665
116,stir,True,26.0665,1,601
117,stir,True,26.1273,1,102
118,stir,True,26.217,1,435
119,stir,True,25.9349,1,240
120,stir,True,25.5313,1,673
121,stir,True,26.0949,1,686
122,stir,True,24.9489,1,765
123,stir,True,26.1163,1,761
124,stir,True,25.2348,1,426
125,stir,True,26.0177,1,497
126,stir,True,26.064,1,641
127,stir,True,26.0615,1,655
128,stir,True,26.101,1,743
129,stir,True,26.067,1,608
130,stir,True,26.0924,1,668
131,stir,True,25.9987,1,666
132,stir,True,26.1293,1,662
133,stir,True,26.0973,1,481
134,stir,True,26.2085,1,748
135,stir,True,26.0807,1,757
136,stir,True,26.0985,1,84
137,stir,True,26.0595,1,757
138,stir,True,26.0642,1,764
139,stir,True,25.4009,1,566
140,stir,True,26.0667,1,642
141,stir,True,26.0486,1,700
142,stir,True,26.1167,1,759
143,stir,True,26.1337,1,554
144,stir,True,26.0801,1,704
145,stir,True,23.5312,1,553
146,stir,True,26.0821,1,651
147,stir,True,25.931,1,34
148,stir,True,26.1476,1,782
149,stir,True,26.0579,1,765
150,stir,True,26.0687,1,761
151,stir,True,26.1631,1,683
152,stir,True,26.0491,1,701
153,stir,True,26.0289,1,706
154,stir,True,24.1839,1,354
155,stir,True,26.252,1,742
156,stir,True,26.033,1,651
157,stir,True,26.1161,1,738
158,stir,True,26.1173,1,588
159,stir,True,26.0303,1,585
160,stir,True,26.0278,1,704
161,stir,True,25.7461,1,615
162,stir,True,26.1484,1,451
163,stir,True,23.6505,1,708
164,stir,True,26.1834,1,739
165,stir,True,25.9966,1,11
166,stir,True,26.1281,1,681
167,stir,True,26.1259,1,727
168,stir,True,23.6175,1,715
169,stir,True,26.0115,1,672
170,stir,True,26.035,1,442
171,stir,True,26.1317,1,770
172,stir,True,26.1478,1,612
173,stir,True,25.9784,1,560
174,stir,True,25.8122,1,366
175,stir,True,25.912,1,725
176,stir,True,26.1006,1,716
177,stir,True,26.0511,1,274
178,stir,True,26.0437,1,680
179,stir,True,26.0974,1,768
180,stir,True,26.0786,1,239
181,stir,True,24.8813,1,635
182,stir,True,26.0674,1,661
183,stir,True,26.0671,1,661
184,stir,True,26.1006,1,780
185,stir,True,25.7808,1,743
186,stir,True,25.5809,1,565
187,stir,True,26.0768,1,258
188,stir,True,26.0468,1,598
189,stir,True,26.1155,1,442
190,stir,True,26.0125,1,621
191,stir,True,23.6286,1,531
192,stir,True,26.0994,1,651
193,stir,True,26.1262,1,646
194,stir,True,26.0643,1,752
195,stir,True,24.2511,1,235
196,stir,True,25.6009,1,593
197,stir,True,26.0836,1,759
198,stir,True,26.117,1,651
199,stir,True,25.9314,1,715
200,stir,True,26.092,1,465
201,stir,True,25.7002,1,694
202,stir,True,25.6992,1,593
203,stir,True,26.076,1,744
204,stir,True,26.1187,1,606
205,stir,True,23.8651,1,393
206,stir,True,25.3822,1,724
207,stir,True,26.1144,1,695
208,stir,True,23.626,1,349
209,stir,True,25.9142,1,699
210,stir,True,24.6669,1,713
211,stir,True,26.0671,1,557
212,stir,True,26.001,1,261
213,stir,True,24.7325,1,583
214,stir,True,26.0957,1,627
215,stir,True,26.1164,1,555
216,stir,True,26.0165,1,694
217,stir,True,26.1629,1,468
218,stir,True,25.117,1,527
219,stir,True,26.0997,1,530
220,stir,True,25.9314,1,702
221,stir,True,24.3311,1,759
222,stir,True,26.0961,1,720
223,stir,True,26.0846,1,643
224,stir,True,26.0639,1,715
225,stir,True,26.198,1,693
226,stir,True,23.6311,1,756
227,stir,True,26.1007,1,769
228,stir,True,24.4824,1,607
229,stir,True,25.1975,1,687
230,stir,True,26.0962,1,402
231,stir,True,23.7175,1,637
232,stir,True,26.0168,1,574
233,stir,True,26.1179,1,674
234,stir,True,26.1142,1,444
235,stir,True,25.6813,1,716
236,stir,True,26.0165,1,617
237,stir,True,26.0499,1,668
238,stir,True,26.0354,1,370
239,stir,True,25.409,1,187
240,stir,True,26.0839,1,417
241,stir,True,25.9812,1,690
242,stir,True,26.214,1,719
243,stir,True,26.0795,1,643
244,stir,True,23.7668,1,710
245,stir,True,25.309,1,681
246,stir,True,26.0816,1,622
247,stir,True,23.8,1,727
248,stir,True,24.5836,1,458
249,stir,True,25.9828,1,539
250,stir,True,26.0974,1,555
251,stir,True,26.0075,1,486
252,stir,True,25.898,1,457
253,stir,True,26.0952,1,448
254,stir,True,23.5455,1,668
255,stir,True,26.0479,1,766
256,stir,True,23.7999,1,719
257,stir,True,26.0422,1,737
258,stir,True,26.1645,1,438
259,stir,True,25.2815,1,583
260,stir,True,26.1134,1,707
261,stir,True,26.0928,1,758
262,stir,True,26.1341,1,707
263,stir,True,23.6676,1,309
264,stir,True,26.0305,1,396
265,stir,True,25.314,1,4
266,stir,True,24.9274,1,425
267,stir,True,26.0656,1,674
